14;23;74
90;90;22
72;58;64
38;39;96
42;52;50
77;48;75
68;53;55
86;98;13
81;76;82
99;31;52
95;77;91
13;30;97
76;64;61
98;76;77
23;48;95
79;31;21
55;57;39
35;18;97
42;68;48
88;76;14
99;59;60
31;41;18
97;63;97
13;23;83
85;96;69
54;13;88
33;53;46
47;76;21
63;17;63
14;19;35
59;33;91
74;80;26
58;10;80
98;41;67
47;30;22
98;81;83
24;42;12
45;70;71
32;20;31
30;13;27
34;27;76
77;54;81
70;64;60
19;82;38
95;94;37
32;20;25
67;42;17
84;98;26
45;34;99
60;41;19
31;18;90
62;35;66
14;36;20
48;92;48
20;96;12
56;25;12
41;23;92
98;56;39
54;72;70
19;17;56
96;92;22
80;29;22
23;82;44
82;22;83
25;87;40
50;27;88
48;26;31
97;96;98
14;29;77
52;61;68
67;37;79
62;55;12
35;15;55
28;75;31
73;21;78
52;94;31
67;56;30
23;99;19
91;52;13
11;49;75
95;13;98
37;39;87
13;76;93
10;55;44
89;39;69
31;73;60
54;25;100
52;93;11
22;68;56
18;66;91
52;17;59
48;61;89
34;13;12
39;49;13
88;88;100
54;23;67
41;100;71
85;75;96
36;38;15
33;79;89
31;97;95
90;71;24
76;92;90
75;82;86
46;61;79
83;75;74
88;71;26
38;15;70
26;93;56
49;38;19
52;64;26
22;45;28
49;28;32
28;31;26
71;18;48
45;31;35
93;19;28
30;41;48
61;85;61
96;11;41
51;51;90
91;52;22
46;47;78
38;26;76
73;36;27
54;54;48
67;94;65
48;39;88
94;23;59
77;90;83
47;32;11
88;75;61
12;83;17
19;89;41
34;62;24
25;14;71
91;64;55
30;66;51
98;69;64
11;81;64
54;44;78
34;33;15
44;39;71
62;94;47
70;90;57
95;49;21
44;87;47
31;97;86
58;15;41
32;89;76
19;100;67
65;61;47
41;23;24
23;42;11
92;82;50
10;29;13
81;24;96
10;25;87
37;52;28
61;55;52
92;48;52
80;16;35
68;80;32
53;58;71
54;80;64
33;94;76
24;58;79
53;24;16
17;58;39
68;58;39
23;73;22
21;65;67
82;76;23
17;77;34
100;30;58
63;81;66
100;26;100
80;69;88
19;45;50
61;90;28
67;67;17
36;91;97
30;96;61
13;93;13
64;99;56
56;93;94
62;95;21
25;65;56
15;48;28
32;68;78
26;70;41
84;35;16
73;30;82
19;84;33
24;17;13
16;76;39
65;73;82
74;22;17
91;52;72
24;20;11
12;35;61
92;15;74
63;25;39
68;53;91
39;67;43
13;11;79
100;57;12
20;65;58
74;36;90
41;29;14
32;77;21
37;14;73
16;34;72
66;15;36
13;40;81
39;64;70
45;96;95
47;93;65
16;68;14
60;34;42
76;12;99
89;25;61
66;89;71
63;61;12
82;34;65
33;18;24
42;43;89
54;28;63
64;43;76
99;94;24
19;63;81
56;54;33
61;78;19
34;90;15
36;22;13
49;17;78
13;17;34
38;29;26
51;31;44
46;92;79
30;37;36
42;32;66
60;51;11
88;41;45
71;11;61
55;67;62
18;64;91
25;43;36
95;49;19
24;87;82
65;64;100
49;18;72
37;76;73
71;32;76
31;58;47
25;62;49
93;23;24
68;62;19
22;23;23
53;55;63
47;29;94
69;25;26
61;72;41
12;84;28
71;68;17
74;12;90
53;100;36
24;81;78
66;21;15
19;64;33
67;21;49
49;19;49
54;19;30
29;42;89
91;73;78
15;18;39
76;27;42
13;87;12
96;93;94
57;44;74
31;82;53
66;74;87
94;67;52
45;58;20
14;43;15
16;24;78
51;79;80
78;85;45
70;67;37
52;40;19
33;42;55
30;57;82
51;15;61
19;42;63
74;37;45
68;55;49
50;62;56
21;59;44
82;59;96
49;40;25
92;24;16
73;93;67
57;81;36
35;79;41
23;30;44
93;75;57
85;47;98
56;64;57
64;42;28
97;96;87
39;80;40
66;60;46
93;49;73
22;79;35
47;33;71
97;23;71
62;42;53
94;54;89
12;33;40
64;100;61
70;79;15
60;22;87
57;46;41
62;10;100
34;35;92
64;20;99
79;12;30
70;96;40
46;33;30
80;98;42
91;48;86
77;85;19
16;50;26
68;74;29
38;30;97
51;34;93
62;75;95
65;78;85
44;53;26
85;87;43
94;42;34
30;12;22
82;75;97
36;74;31
60;72;14
47;73;29
66;52;55
87;59;77
25;61;79
59;93;60
75;77;45
72;97;99
50;87;43
10;78;93
90;29;72
60;34;73
94;42;47
29;94;42
24;99;46
14;49;15
46;21;54
24;80;38
51;10;10
21;43;94
62;55;51
91;85;42
41;77;40
47;17;54
